职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值,行业类型,平均薪酬,工资级别
碳中和经济分析员,广东智合会计师事务所有限公司,6.5千-1万,广州·越秀区,3,2,"计算机
经济学
碳排放
五险一金
交通补贴
通讯补贴
绩效奖金
年终奖金
周末双休
员工旅游",会计/审计,,民营  |  50-150人,一线,,6500-10000,6500,10000,经济,8250,三级
研究员（21世纪经济研究院）,广东南方财经全媒体集团股份有限公司,1-2万,北京·朝阳区,3,2,"新闻
经济
宏观政策
营商环境
报告分析
五险一金
绩效奖金
年终奖金
定期体检",影视/媒体/艺术/文化传播,,国企  |  500-1000人,一线,,10000-20000,10000,20000,经济,15000,二级
经济研究员,广州丰荣发展有限公司,7千-1.2万,广州·越秀区,2,0,"金融
经济研究
行业研究
数据分析
弹性工作
专业培训
员工旅游
固定双休",金融/投资/证券,,民营  |  50-150人,一线,,7000-12000,7000,12000,经济,9500,三级
产业经济研究员,北京经世万方信息技术有限公司,7-9千,长沙·天心区,4,0,"经济
建模
五险一金
年终奖金
定期体检
周末双休
带薪年假
节日福利",计算机软件,,民营  |  50-150人,新一线,,7000-9000,7000,9000,经济,8000,四级
工商管理学院--应用经济学助理导师,北京师范大学-香港浸会大学联合国际学院,6-8千,珠海·香洲区,4,1,"应用经济学
英语表达
周末双休
带薪年假
五险一金
免费班车
节日福利",教育/培训/院校,,民营  |  500-1000人,二线,,6000-8000,6000,8000,经济,7000,四级
总部经济专员（杭州）(J12273),谷川联行有限公司,8千-1万,杭州·拱墅区,3,2,"五险一金
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
公积金按底薪",多元化业务集团公司,,民营  |  500-1000人,新一线,,8000-10000,8000,10000,经济,9000,三级
营商环境及信用经济研究员,中经网数据有限公司,1-1.5万,北京·西城区,4,1,"经济分析
餐饮补贴
五险一金
年终奖金
定期体检
带薪年假",互联网/电子商务,,国企  |  150-500人,一线,,10000-15000,10000,15000,经济,12500,二级
产业经济研究员,重庆现代建筑产业发展研究院,8千-1万,重庆·九龙坡区,4,2,"产业经济
产业发展
工作计划
区域协调
战略规划
客户沟通
产业集群
经济发展
课题研究
周末双休
五险一金
绩效奖金
定期体检",非营利组织,,非营利组织  |  50-150人,新一线,,8000-10000,8000,10000,经济,9000,三级
Alevel经济学老师,广州市越秀区环球精英培训中心,1.5-2万,广州·天河区,3,2,"经济学
国际学科
ALEVEL
弹性工作
绩效奖金
五险一金
年终奖金",教育/培训/院校,,已上市  |  1000-5000人,一线,,15000-20000,15000,20000,经济,17500,二级
产业经济研究员,北京经世万方信息技术有限公司,6-8千,合肥·政务区,4,0,"五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",计算机软件,,民营  |  50-150人,新一线,,6000-8000,6000,8000,经济,7000,四级
高中经济老师 High School Economics teacher,上海诺美学校,1.5-2万,上海·闵行区,4,3,"教师
老师
高中
经济
五险一金
员工旅游
交通补贴
专业培训
餐饮补贴
年终奖金
绩效奖金
定期体检",教育/培训/院校,,合资  |  150-500人,一线,,15000-20000,15000,20000,经济,17500,二级
高中双语经济商务老师 High School Economics teacher,领科教育,1-1.8万,上海,3,3,"经济老师
商务老师
五险一金
定期体检
免费班车
补充医疗保险
绩效奖金
员工旅游",教育/培训/院校,,民营  |  150-500人,一线,,10000-18000,10000,18000,经济,14000,二级
国际学校   经济老师,上海诺美学校,2-2.5万,上海·闵行区,4,3,"五险一金
餐饮补贴
绩效奖金
交通补贴
年终奖金",教育/培训/院校,,合资  |  150-500人,一线,,20000-25000,20000,25000,经济,22500,二级
经济师/会计/证券/基金/理财课程讲师,智亦慧（上海）文化发展有限公司,2-3万,上海·黄浦区,3,3,"五险一金
专业培训
绩效奖金
年终奖金
员工旅游",教育/培训/院校,,民营  |  50-150人,一线,,20000-30000,20000,30000,经济,25000,二级
经济学老师,海望教育,8千-1.5万,上海·宝山区,3,2,"教师
高中
双语
经济学
老师
五险一金
绩效奖金
免费午餐
定期体检
员工旅游",教育/培训/院校,,民营  |  50-150人,一线,,8000-15000,8000,15000,经济,11500,三级
总部经济招商经理/长沙,谷川联行有限公司,8千-1万,长沙·天心区,3,2,"做五休二
周末双休
五险一金
带薪年假
高温补贴
绩效奖金
节日福利
专业培训",多元化业务集团公司,,民营  |  500-1000人,新一线,,8000-10000,8000,10000,经济,9000,三级
数字经济研究员,众创网（武汉）科技有限公司,8千-1.5万,武汉·江岸区,4,2,"数据分析
咨询建议
数字经济
研究分析
经济
金融
五险一金
年终奖金
带薪年假
周末双休
专业培训
节日福利",互联网/电子商务,,民营  |  50-150人,新一线,,8000-15000,8000,15000,经济,11500,三级
总部经济高级顾问（杭州）(J11980),谷川联行有限公司,8千-1.5万,杭州·拱墅区,3,4,"五险一金
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",多元化业务集团公司,,民营  |  500-1000人,新一线,,8000-15000,8000,15000,经济,11500,三级
宏观经济助理研究员,北京福盛德信息咨询有限公司,8千-1.5万,北京·通州区,4,2,"数据分析
证券
外汇
宏观经济
五险一金
绩效奖金
定期体检",专业服务(咨询、人力资源、财会),,民营  |  少于50人,一线,,8000-15000,8000,15000,经济,11500,三级
经济学/商科老师,狄邦教育集团,1-1.5万,成都·青羊区,3,3,"五险一金
绩效奖金
餐饮补贴
定期体检",教育/培训/院校,,民营  |  1000-5000人,新一线,,10000-15000,10000,15000,经济,12500,二级
中学经济学老师,成都新津墨文学校,9千-1.2万,成都·新津县,3,3,"私立学校
五险一金
免费班车
带薪假期
交通补贴",教育/培训/院校,,民营  |  150-500人,新一线,,9000-12000,9000,12000,经济,10500,三级
产业经济学博士,深圳中商产业研究院有限公司,2-4万,深圳·福田区,5,1,"五险一金
绩效奖金
全勤奖
员工旅游
节日福利",专业服务(咨询、人力资源、财会),,民营  |  50-150人,一线,,20000-40000,20000,40000,经济,30000,一级
产业经济研究,广东铭太信息科技有限公司,8千-1.3万,广州,4,1,"五险一金
专业培训
年终奖金
员工旅游",计算机软件,,民营  |  150-500人,一线,,8000-13000,8000,13000,经济,10500,三级
会计（武汉经济技术开发区）,大信沃思财务顾问（武汉）股份有限公司,4-6千,武汉·武汉经济开发区,2,1,"会计
财务
周末双休
带薪年假
交通补贴
餐饮补贴
节日福利
五险一金
通讯补贴",专业服务(咨询、人力资源、财会),,民营  |  50-150人,新一线,,4000-6000,4000,6000,经济,5000,五级
金融/经济研究员（股权分红+双休）,广东致远蓝图项目管理有限公司,8千-1.2万,广州·天河区,2,1,"金融
高薪
双休
晋升
员工旅游
五险一金
弹性工作
数据分析
出国学习
五险一金
专业培训
绩效奖金
弹性工作
周末双休
节日福利
生日礼品
地铁周边
出国机会
股票期权",金融/投资/证券,,民营  |  50-150人,一线,,8000-12000,8000,12000,经济,10000,三级
国企金牌保险经济人,中国人寿保险股份有限公司杭州市分公司,1-1.5万,杭州·江干区,2,1,"员工旅游
专业培训
绩效奖金
年终奖金
弹性工作
通讯补贴
周末双休",保险,,国企  |  10000人以上,新一线,,10000-15000,10000,15000,经济,12500,二级
总部经济中级顾问(J13069),谷川联行有限公司,8千-1.2万,杭州,3,2,"五险一金
年终奖金
专业培训
周末双休
通讯补贴
定期体检
绩效奖金",多元化业务集团公司,,民营  |  500-1000人,新一线,,8000-12000,8000,12000,经济,10000,三级
总部经济销售顾问,浙江牛领数字技术有限公司,8千-1.5万·13薪,杭州·临平区,3,3,"五险一金
餐饮补贴
绩效奖金
年终奖金
定期体检
节假日福利",影视/媒体/艺术/文化传播,,民营  |  50-150人,新一线,,8000-15000,8000,15000,经济,11500,三级
经济研究员（双休）,广东致远蓝图项目管理有限公司,7千-1.2万,广州·天河区,2,1,"资产管理
经济研究
金融
投融资
投资
理财
项目
弹性工作
绩效奖金
周末双休
生日福利
节日福利
定期团建
员工旅游
专业培训
地铁周边
环境优质",金融/投资/证券,,民营  |  50-150人,一线,,7000-12000,7000,12000,经济,9500,三级
项目财务经理（经济型V车项目）,伟盈新能源科技（无锡）有限公司深圳分公司,1.5-2.5万,深圳·福田区,3,4,"预算管理
财务分析
财务建模
成本管控
经营预测
投融资
汽车研发
五险一金
年终奖金
弹性工作
股票期权
绩效奖金
专业培训",计算机软件,,民营  ,一线,,15000-25000,15000,25000,经济,20000,二级
宏观经济研究/数据分析助理,上海九鞅投资管理合伙企业（有限合伙）,1-2万,上海·杨浦区,4,1,"宏观经济
研究
行研
数据
数据分析",金融/投资/证券,,创业公司  |  少于50人,一线,,10000-20000,10000,20000,经济,15000,二级
总部经济专员（湖州长兴）(J10162),谷川联行有限公司,1-1.5万,湖州·长兴县,3,1,"五险一金
年终奖金
绩效奖金
快速发展
行业领先
重点项目
发展空间大
B端销售
销售
商务谈判",多元化业务集团公司,,民营  |  500-1000人,三线,,10000-15000,10000,15000,经济,12500,二级
产业和经济咨询顾问,邦城规划顾问（苏州工业园区）有限公司,1-1.5万,北京·西城区,3,3,"区域规划
产业定位
招商顾问
战略咨询
五险一金
专业培训
出国机会",专业服务(咨询、人力资源、财会),,合资  |  150-500人,一线,,10000-15000,10000,15000,经济,12500,二级
经济学老师,成都宜可睿科技有限公司,1.7-2万,佛山,3,3,"经济学
商科
会计",专业服务(咨询、人力资源、财会),,外资（欧美）  |  少于50人,新一线,,17000-20000,17000,20000,经济,18500,二级
产业经济研究员,王牌智库（深圳）有限公司,8千-1.3万,深圳·福田区,3,0,"数据分析
调研
绩效奖金
专业培训
五险一金",专业服务(咨询、人力资源、财会),,民营  |  50-150人,一线,,8000-13000,8000,13000,经济,10500,三级
经济分析师 Analyst APAC Macroeconomic research,克里赛尔易莱纳信息技术（杭州)有限公司,1-1.5万,杭州,4,2,"宏观经济金融
周末双休
弹性工作
带薪年假
五险一金
节日福利
专业培训
加班补贴",金融/投资/证券,,外资（非欧美）  |  500-1000人,新一线,,10000-15000,10000,15000,经济,12500,二级
国际双语经济学老师,成都宜可睿科技有限公司,1.7-2万,佛山,3,3,"经济学
商科
会计",专业服务(咨询、人力资源、财会),,外资（欧美）  |  少于50人,新一线,,17000-20000,17000,20000,经济,18500,二级
高级行业分析师,杭州链杉经济信息咨询有限公司,1.2-2.4万,上海·浦东新区,4,2,"项目筛选
战略规划
评估报告
尽调分析
项目研究
基本面分析
英语听说读写
财务分析",金融/投资/证券,,民营  |  少于50人,一线,,12000-24000,12000,24000,经济,18000,二级
总部经济招商专员（武汉）,谷川联行有限公司,6-8千,武汉·江岸区,3,1,"专业培训
周末双休
带薪年假
五险一金
节日福利
绩效奖金
高温补贴
销售",多元化业务集团公司,,民营  |  500-1000人,新一线,,6000-8000,6000,8000,经济,7000,四级
低碳经济研究员（低碳/节能/环境咨询）,中国电子节能技术协会低碳经济专业委员会,8千-1.5万,北京·朝阳区,4,1,"低碳研究员
碳核查
碳足迹
碳排放
碳排放管理师
低碳技术
能源管理
标准化工程师
低碳
环保
绩效奖金
专业培训
通讯补贴
员工旅游
五险一金
交通补贴",环保,,非营利组织  |  少于50人,一线,,8000-15000,8000,15000,经济,11500,三级
经济副总经理,广东中发工程建设有限公司,2.5-3.5万,广州·天河区,3,5,"造价
审计
成本
五险
节日福利",建筑/建材/工程,,民营  |  150-500人,一线,,25000-35000,25000,35000,经济,30000,一级
项目总经济师（机电项目）,中国电子系统工程第二建设有限公司-十一公司,1.2-1.7万,南京,3,4,"结算
机电项目
五险一金
餐饮补贴
专业培训
定期体检
弹性工作
高温补贴
绩效奖金",建筑/建材/工程,,国企  |  50-150人,新一线,,12000-17000,12000,17000,经济,14500,二级
产业经济研究,广东铭太信息科技有限公司,7千-1.4万,西安,4,1,"产业经济研究
互联网
数字化
五险一金
专业培训
年终奖金
员工旅游",计算机软件,,民营  |  150-500人,新一线,,7000-14000,7000,14000,经济,10500,三级
数字经济规划研究助理,重庆信息通信研究院,7千-1.2万,重庆,3,0,"五险一金
餐饮补贴
年终奖金
定期体检
绩效奖金
专业培训
补充医疗保险",通信/电信/网络设备,,事业单位  |  150-500人,新一线,,7000-12000,7000,12000,经济,9500,三级
双语经济学老师,深圳市大鹏新区瑞得福培训学校,1.4-2.8万,深圳·大鹏新区,3,1,"五险一金
免费班车
带薪寒暑假
免费工作餐
提供住宿",教育/培训/院校,,民营  |  50-150人,一线,,14000-28000,14000,28000,经济,21000,二级
全盘会计,珠海经济特区顺益发展有限公司,6-9千·13薪,珠海,2,2,"全盘会计
资金管理
报销费用
五险一金
年终奖金
交通补贴
绩效奖金
定期体检
员工旅游
餐饮补贴",机械/设备/重工,,民营  |  150-500人,二线,,6000-9000,6000,9000,经济,7500,四级
双语经济教师,苏州市吴江区世恒学校,1-2万,苏州·吴江区,3,2,"双语经济老师
英语
五险一金
补充医疗保险
餐饮补贴
绩效奖金
定期体检",教育/培训/院校,,非营利组织  |  150-500人,新一线,,10000-20000,10000,20000,经济,15000,二级
数字经济规划研究员,重庆信息通信研究院,7千-1.2万,重庆·南岸区,3,0,"五险一金
餐饮补贴
绩效奖金
年终奖金
定期体检
专业培训
补充医疗保险",通信/电信/网络设备,,事业单位  |  150-500人,新一线,,7000-12000,7000,12000,经济,9500,三级
经济咨询主管,四川中鼎汇智社会经济咨询有限公司,1.2-1.5万,成都·金牛区,3,3,"咨询顾问
五险一金
员工旅游
年终奖金
绩效奖金",学术/科研,,民营  |  50-150人,新一线,,12000-15000,12000,15000,经济,13500,二级
技术经济岗,北京外企人力资源服务有限公司,2.5-4万,上海,4,3,"五险一金
企业年金
补充医疗保险
意外伤害保险
通讯补贴
年度体检
员工食堂",专业服务(咨询、人力资源、财会),,国企  |  10000人以上,一线,,25000-40000,25000,40000,经济,32500,一级
经济贸易学院专任教师,广州华商学院,1.1-1.6万,广州·增城区,4,3,"经济
金融
统计
国际贸易
大学教师
周末双休
年终双薪
奖金丰厚
节日福利
提供班车
五险一金
年终奖金
餐饮补贴
交通补贴
定期体检
绩效奖金
补充医疗保险
周末双休
节日福利",教育/培训/院校,,非营利组织  |  500-1000人,一线,,11000-16000,11000,16000,经济,13500,二级
金融/经济研究员,厦门云汇泽网络科技有限公司,8千-1.2万,东营,1,1,"销售代表
销售
渠道销售
客户代表
直销销售
电话销售
业务员
金融销售专员
销售顾问
区域销售
做五休二
五险一金
全勤奖
带薪年假
节日福利",互联网/电子商务,,民营  |  少于50人,四线,,8000-12000,8000,12000,经济,10000,三级
经济咨询主管,四川中鼎汇智社会经济咨询有限公司,6千-1.2万,成都·金牛区,3,3,"五险一金
员工旅游
交通补贴
年终奖金
绩效奖金",学术/科研,,民营  |  50-150人,新一线,,6000-12000,6000,12000,经济,9000,三级
