职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
企服营销总监8000-15000+分红,佛山市钧瓴信息科技有限公司,8千-1.5万,佛山·顺德区,本科,5-7年,"销售
客户开发
团队搭建
管理销售队伍
带薪年假
专业培训
节日福利
分红
月休四天
五险",专业服务(咨询、人力资源、财会),,,民营  |  少于50人,,,,,
市场营销总监,华龙证券股份有限公司无锡人民东路证券营业部,0.8-1万,无锡,本科,3-4年,"证券
营销
营销总监
专业培训
通讯补贴
五险一金
定期体检
绩效奖金
年终奖金",金融/投资/证券,,,国企  |  少于50人,,,,,
营销负责人,浙江保利房地产开发有限公司,1-2万,宁波,本科,5-7年,"人员管理
项目管理
销售
五险一金
交通补贴
餐饮补贴
定期体检
年终奖金
包吃",房地产,,,国企  |  150-500人,,,,,
营销策划总监,苏州市天福环保科技有限公司,1.5-3万,苏州·相城区,本科,2年,"管理
市场信息
分析判断
市场感知
演讲
市场营销
团队管理
市场动态
市场战略规划
市场管理
餐饮补贴
年终奖金
弹性工作
专业培训",机械/设备/重工,,,民营  |  少于50人,,,,,
市场营销专员,航科院（北京）科技发展有限公司,1-1.2万,北京·朝阳区,本科,2年,"五险一金
年终奖金
定期体检
绩效奖金
专业培训
工作餐",航天/航空,,,民营  |  50-150人,,,,,
整合营销经理,云鲸智能（深圳）有限公司,1.5-3万·14薪,深圳,本科,3-4年,"营销策划
品牌推广
品牌传播方案
市场传播策略
五险一金
定期体检
年终奖金
机器人独角兽
发展空间大",电子技术/半导体/集成电路,,,民营  |  1000-5000人,,,,,
广发银行高薪诚聘营销人才,广发银行股份有限公司信用卡中心,1-2万,眉山,大专,无需经验,"五险一金
补充医疗保险
专业培训
弹性工作
定期体检
年终奖金
绩效奖金",银行,,,国企  |  10000人以上,,,,,
市场/营销/拓展主管,苏州尊尔光电科技有限公司,1.5-2.5万,太仓,大专,3-4年,"市场营销
市场主管
市场经理
做五休二
周末双休
带薪年假
绩效奖金
餐饮补贴",电子技术/半导体/集成电路,,,民营  |  50-150人,,,,,
海外社群营销（提供吃住）,零忧科技（深圳）有限公司,8千-1.1万,深圳·宝安区,本科,1年,"英语沟通
社媒运营
电商
社群营销
策划社区活动
数码
社区数据分析
数据分析能力
社保五险
绩效奖金
专业培训
节日福利
员工旅游
年终奖金
带薪年假
包住宿",贸易/进出口,,,民营  |  150-500人,,,,,
市场营销主管（8k-12K）（上海）,杭州声联智能科技有限公司,8千-1.2万,上海·杨浦区,本科,2年,"中文
新闻
广告学
创意策划
商务合作
视频
营销策略
活动执行
新品推广
短视频
五险一金
年终奖金
专业培训
交通补贴
餐饮补贴
通讯补贴",互联网/电子商务,,,外资（非欧美）  |  50-150人,,,,,
投顾营销策划,上海点掌文化科技股份有限公司,1-1.6万·13薪,上海·普陀区,本科,2年,"营销活动策划
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
带薪年假",金融/投资/证券,,,民营  |  500-1000人,,,,,
房地产营销案场销售,中连资产管理（上海）有限公司,6-9千,上海·黄浦区,大专,3-4年,"五险一金
带薪年假
节日福利
专业培训
绩效奖金
年终奖金
晋升空间
员工旅游
销售",金融/投资/证券,,,民营  |  少于50人,,,,,
营销培训总监,青海春天药用资源科技股份有限公司,1.5-2万,成都·武侯区,大专,3-4年,"五险一金
餐饮补贴
通讯补贴
交通补贴",制药/生物工程,,,已上市  |  1000-5000人,,,,,
市场营销工程师,深圳市科润宝实业有限公司,8-16万/年,深圳·宝安区,大专,5-7年,"工程师
销售
销售工程师
销售代表
市场营销
业务员
大客户代表
渠道销售
销售经理
五险一金
员工旅游
专业培训
绩效奖金
补充公积金
补充医疗保险
交通补贴
通讯补贴
年终奖金",仪器仪表/工业自动化,,,民营  |  少于50人,,,,,
市场营销,江门市华企立方科技有限公司,1-1.5万,江门,高中,无需经验,"合同谈判
销售分析数据
交通补贴
专业培训
绩效奖金
年终奖金",互联网/电子商务,,,民营  |  50-150人,,,,,
营销中心业务助理,深圳市千百辉智能工程有限公司,7千-1万,深圳,本科,1年,"市场营销
助理
周末双休
五险一金
节日福利
餐饮补贴
加班补贴
全勤奖
专业培训",建筑/建材/工程,,,已上市  |  150-500人,,,,,
大客户营销总监,广东中旗新材料股份有限公司,30-40万/年,佛山·禅城区,本科,5-7年,"大客户销售
五险一金
餐饮补贴
绩效奖金
节日福利
晋升机会大",建筑/建材/工程,,,民营  |  1000-5000人,,,,,
市场营销专员,湖北宏辉建材有限公司,6千-1万,武汉·江夏区,大专,2年,市场营销专员,建筑/建材/工程,,,民营  |  150-500人,,,,,
营销策划经理-天猫电商,长沙佰赞电子商务有限公司,1-1.5万,长沙·岳麓区,本科,5-7年,"市场营销
营销策划
营销策略
运营计划
用户运营
天猫店铺
营销策划方案
线上零售
营销案例
营销文案
全勤奖
节日福利
包住宿
住房补贴
绩效奖金
餐饮补贴",互联网/电子商务,,,民营  |  50-150人,,,,,
市场营销,天津东洋油墨有限公司,4-6千,天津·西青区,,本科,"周末双休
带薪年假
五险一金
节日福利
绩效奖金
免费班车
高温补贴
销售
销售业务
销售代表
营销
市场",石油/化工/矿产/地质,,,合资  |  500-1000人,,,,,
市场/营销业务/拓展主管/ 销售业务,佛山市益宏焊接有限公司,0.8-1万,佛山·南海区,大专,3-4年,,采掘业/冶炼,,,民营  |  150-500人,,,,,
市场营销经理,深圳市巨鼎医疗股份有限公司,1-1.5万,深圳·南山区,本科,3-4年,"五险一金
通讯补贴
弹性工作",医疗设备/器械,,,合资  |  1000-5000人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,锡林郭勒盟,大专,5-7年,"导航
销售
遥感
开拓市场
农业
商务洽谈
水利
合同签订
软件产品
政府行业
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
私域社群营销负责人,广州市东樱生物科技有限公司,1.5-2万,广州·花都区,本科,5-7年,"购买社保
餐饮补贴
全勤奖
节日福利
法定假日
年终奖金
专业培训
员工旅游
大小周
包吃包住",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
营销经理,港中旅华贸国际物流股份有限公司青岛分公司,1.5-2万,青岛·市南区,大专,5-7年,"周末双休
节日福利
定期体检
带薪年假
六险一金
绩效奖金",交通/运输/物流,,,国企  |  50-150人,,,,,
高级营销经理,宁波驭邦化工有限公司,8千-1.6万,宁波·鄞州区,本科,5-7年,"信息收集
行情研判
经营思路
新业务拓展
五险一金
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",贸易/进出口,,,民营  |  少于50人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
营销经理（青岛）,广东拉多美化肥有限公司,5-8千,广州·南沙区,大专,3-4年,"五险一金
免费班车
绩效奖金
年终奖金
专业培训",石油/化工/矿产/地质,,,民营  |  500-1000人,,,,,
市场营销经理,爱克玛电驱动系统（苏州）有限公司,1.5-2万,苏州·吴中区,本科,3-4年,"五险一金
包吃",机械/设备/重工,,,民营  |  50-150人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,盐城·盐都区,大专,5-7年,"销售
合同签订
导航
开拓市场
农业
遥感
商务洽谈
水利
软件产品
政府行业
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
技术营销经理,云南祺为财务管理咨询有限公司,10-13万/年,昆明·官渡区,大专,3-4年,"销售
拜访客户
新客户开发
拓宽市场
产品技术
客户管理
带团队
年终奖金
绩效奖金
专业培训
五险
定期体检
员工旅游",会计/审计,,,民营  |  50-150人,,,,,
营销推广专员,河南国能电气建设集团有限公司,5-6千,郑州·高新区,大专,3-4年,"五险一金
单双休
提供住宿
微信
短视频拍摄
微博
平台营销
平台运营
抖音
运营
剪辑
网站运营",建筑/建材/工程,,,民营  |  50-150人,,,,,
咨询顾问（市场营销）,上海印开锐企业管理咨询有限公司,1.2-1.6万,上海·嘉定区,本科,2年,"市场研究
咨询
营销策划
品牌运营
零售
消费品
新媒体
咨询顾问
管理咨询
五险一金
商业保险
员工旅游
定期体检
生日福利
节日福利
带薪休假",专业服务(咨询、人力资源、财会),,,民营  |  50-150人,,,,,
店铺营销监督,金至尊,7千-1万,深圳·罗湖区,中技/中专,1年,"带薪年假
五险一金
节日福利
年终奖金
周末双休",奢侈品/收藏品/工艺品/珠宝,,,合资  |  1000-5000人,,,,,
营销经理,爱特爱服饰（深圳）有限公司,15-20万/年,深圳·龙华区,本科,3-4年,"营销战略
商品培训
vip管理
培训计划
营销策略
营销
营销推广方案
授课
五险一金
带薪年假
节日福利
法定假日
免费班车
绩效奖金
年终奖金
专业培训
周末双休",服装/纺织/皮革,,,外资（非欧美）  |  1000-5000人,,,,,
新营销，底薪6.4K起+业绩奖,深圳市乐有家控股集团有限公司,7千-1.4万,广州·花都区,大专,无需经验,"提供住宿
五险一金
专业培训
绩效奖金
新营销
网络营销
接待上门客
微信推广
商务谈判
咨询方案
管理会议",房地产,,,民营  |  10000人以上,,,,,
健康财富管理规划师HWP 营销总,泰康人寿保险有限责任公司云南分公司,3-5万,昆明·盘龙区,本科,3-4年,"保险
养老社区
资产管理
营销
年金
补充医疗保险
补充公积金
员工旅游
专业培训
绩效奖金
年终奖金
定期体检
弹性工作
通讯补贴
出国机会",保险,,,民营  |  10000人以上,,,,,
营销专员,中冶南方工程技术有限公司四川分公司,5-8千·16薪,成都·高新区,大专,1年,"餐饮补贴
专业培训
员工旅游
交通补贴
年终奖金",建筑/建材/工程,,,国企  |  150-500人,,,,,
营销副总（武汉）,浦领财富管理有限公司,2.5-5万,武汉,大专,5-7年,"五险一金
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
出国机会",金融/投资/证券,,,民营  |  150-500人,,,,,
市场/营销/拓展专员,成都大改造家装饰工程有限公司,8千-1.5万,成都·武侯区,大专,1年,"销售
市场推广
市场开发
渠道开发
地推
装修行业
签单
市场推广销售
客户联系
异业合作渠道
专业培训
绩效奖金
弹性工作
五险一金",家居/室内设计/装潢,,,民营  |  50-150人,,,,,
营销策划,四川邦华进出口贸易有限公司,6-8千,成都,本科,1年,"内容策划
新闻敏感性
双微
传播产品信息
传播学
平台运营
内容营销
销售转化
故事包装
产品推广
五险一金
补充公积金
员工旅游
餐饮补贴
年终奖金
弹性工作
定期体检
股票期权
专业培训
绩效奖金",计算机软件,,,民营  |  1000-5000人,,,,,
营销策划主管/经理,广州恒康信息科技有限公司,8千-1.5万·13薪,广州·黄埔区,本科,3-4年,"营销策划
竞品分析
软件行业
产品宣传
文案写作
营销改进
产品海报
产品营销策划
行业趋势分析
竞争对手分析
五险一金
定期体检
员工旅游
弹性工作
免费班车
绩效奖金
专业培训
出国机会
年终奖金",计算机软件,,,外资（非欧美）  |  150-500人,,,,,
营销副总,陕西德富祥食品餐饮有限公司,3-3.5万·16薪,西安·莲湖区,本科,8-9年,"免费班车
员工旅游
交通补贴
餐饮补贴
绩效奖金
年终奖金",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
电商营销经理,真奥药业集团有限公司,3-4万,杭州·余杭区,大专,2年,"电商营销经理
社会保险",制药/生物工程,,,民营  |  500-1000人,,,,,
营销总经理助理,蔻彩环保科技（上海）有限公司,1-2万·13薪,上海·长宁区,大专,3-4年,"团队建设
营销管理
业务战略
渠道管理
销售运营支持
销售指标
建材家居行业
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
出国机会
专业培训
年终奖金
绩效奖金",建筑/建材/工程,,,合资  |  50-150人,,,,,
营销总监,苏州中卫宝佳净化科技有限公司,2-4万·13薪,苏州·吴江区,大专,5-7年,"净化工程
团队管理
客户资源
工程行业
沟通谈判
专业培训
员工旅游
周末双休
年终奖金
绩效奖金
提供午餐",建筑/建材/工程,,,民营  |  150-500人,,,,,
CRM/营销策划,安正时尚集团股份有限公司,1.2-1.8万,上海·长宁区,大专,5-7年,五险一金,服装/纺织/皮革,,,已上市  |  1000-5000人,,,,,
营销经理,无锡博美环境科技有限公司,10-20万/年,无锡·宜兴市,大专,无需经验,"销售
开发经销商
弹性工作
五险一金
包吃
绩效奖金
节日福利
专业培训
高温补贴
员工生日
员工旅游",环保,,,民营  |  少于50人,,,,,
营销推广市场拓展（非电销）,南充市君信财务服务有限公司,6-9千,南充,中技/中专,无需经验,"新媒体
推广销售
微信
抖音
维护客户
手机
计算机
绩效奖金
年终奖金
员工旅游
节日福利
通讯补贴
周末双休
年终分红",专业服务(咨询、人力资源、财会),,,民营  |  少于50人,,,,,
市场营销经理（惠州涛景高尔夫度假村）,广东华标创业集团有限公司,7千-1万,惠州,大专,3-4年,"酒店
市场营销
五险一金
包吃
全勤奖
节日福利
高温补贴
专业培训
绩效奖金",房地产,,,民营  |  150-500人,,,,,
市场营销 市场推广,深圳市蓝宝源光电科技有限公司,8千-1.2万,深圳·宝安区,大专,2年,"市场
五险一金
员工旅游
绩效奖金
年终奖金",电子技术/半导体/集成电路,,,民营  |  少于50人,,,,,
营销文员,泰州统实企业有限公司,3-4千,无锡,大专,无需经验,"行政
带薪年假
五险一金
包住宿
节日福利
加班补贴
绩效奖金
年终奖金
团队活动
专业培训
周末双休",快速消费品(食品、饮料、化妆品),,,已上市  |  150-500人,,,,,
市场/营销/拓展专员,武汉雷可达科技有限公司,7千-1.2万,武汉·东湖新技术产业开发区,大专,1年,"市场开拓
销售
销售管理
五险一金
员工旅游
交通补贴
餐饮补贴
专业培训
弹性工作
定期体检
年终奖金",电子技术/半导体/集成电路,,,民营  |  少于50人,,,,,
