职位名称,薪酬,城市地区,工作经验要求,学历要求,公司福利,公司名称,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值,公司规模,公司类型,平均薪资,工资级别
人力资源专员,8千-1万·14薪,上海,2年,本科,"SSC
员工关系
人事专员
人力资源专员
人事档案管理
五险一金
补充医疗保险
餐饮补贴
年终奖金
定期体检",上海有临医药科技有限公司,民营  |  500-1000人,制药/生物工程,一线,8000-10000,8000,10000,500-1000人,民营,9000,三级
大客户经理（人力资源）,1-1.5万,杭州·西湖区,2年,本科,"五险一金
定期体检
补充医疗保险
绩效奖金
通讯补贴
周末双休
专业培训
餐饮补贴
销售
客户关系维护
客户成交
招聘解决方案
维护新老客户
大客户",“前程无忧”51job.com（杭州）,外资（非欧美）  |  150-500人,互联网/电子商务,新一线,10000-15000,10000,15000,150-500人,外资（非欧美）,12500,二级
咨询顾问（人力资源方向）,1-1.5万,广州·天河区,2年,硕士,"五险一金
补充医疗保险
通讯补贴
专业培训
定期体检",广州正略钧策企业管理咨询有限公司,民营  |  500-1000人,专业服务(咨询、人力资源、财会),一线,10000-15000,10000,15000,500-1000人,民营,12500,二级
猎头顾问（人力资源招聘方向）,4.5-6千,安庆,无需经验,大专,"五险一金
补充医疗保险
专业培训
员工旅游
绩效奖金
定期体检",成都埃萨克企业管理咨询有限公司,合资  |  150-500人,专业服务(咨询、人力资源、财会),三线,4500-6000,4500,6000,150-500人,合资,5250,四级
人力资源外包业务开发主管 / 经理,5-8千,武汉·洪山区,2年,大专,"劳务外包
人力资源服务
五险一金
员工旅游
专业培训
交通补贴
年终奖金
电话补助",武汉锦绣人才管理顾问有限公司,民营  |  150-500人,专业服务(咨询、人力资源、财会),新一线,5000-8000,5000,8000,150-500人,民营,6500,四级
人力资源管理,6千-1万,嘉兴,无需经验,硕士,"人事
人力资源
行政
五险一金
免费班车
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检
租房补贴
周末双休",加西贝拉压缩机有限公司,国企  |  1000-5000人,机械/设备/重工,二线,6000-10000,6000,10000,1000-5000人,国企,8000,四级
人力资源经理（大客户）,8千-1.6万,成都·郫都区,3-4年,大专,"蓝领招聘
企业开发
渠道合作
大客户（KA）
企业客户2B
劳务派遣
甲方公司
人力外包公司
五险一金
绩效奖金
项目提成
年终奖金
带薪年假
专业培训
邻地铁
双休",四川蓝领带互联科技有限公司,民营  |  150-500人,互联网/电子商务,新一线,8000-16000,8000,16000,150-500人,民营,12000,三级
人力资源处招聘离退休管理主管,1-1.5万,北京·海淀区,无需经验,本科,"五险一金
餐饮补贴
专业培训
年终奖金
定期体检",中国科学院力学研究所,事业单位  |  500-1000人,学术/科研,一线,10000-15000,10000,15000,500-1000人,事业单位,12500,二级
人力资源绩效考核管理,6-8千·13薪,重庆·长寿区,2年,本科,"绩效考核管理
考核指标
考核
五险一金
补充医疗保险
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检
免费班车
周末双休",重庆亿煊新材料科技有限公司,国企  |  150-500人,多元化业务集团公司,新一线,6000-8000,6000,8000,150-500人,国企,7000,四级
公司外服板块人力资源专员,3.5-5千·13薪,西安·高新技术产业开发区,3-4年,大专,"管理章程
日常管理
奖惩制度
执行力强
***
带薪年假
年终奖金
五险一金
定期体检",西安同喆环保科技有限公司,民营  |  50-150人,环保,新一线,3500-5000,3500,5000,50-150人,民营,4250,五级
银行客服专员/助理,5-6千,合肥·滨湖新区,1年,大专,"五险一金
年终奖金
专业培训
银行
接听客户
五险一金
住宿
带薪年假
培训",陕西润升人力资源管理有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),新一线,5000-6000,5000,6000,少于50人,民营,5500,四级
大客户销售（人力资源）,8千-1.5万,佛山,1年,大专,"五险一金
定期体检
补充医疗保险
绩效奖金
通讯补贴
周末双休
专业培训
销售
招聘解决方案
维护新老客户
客户关系维护
客户成交
新客开发
大客户",“前程无忧”51job.com（Call Center）,外资（非欧美）  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,8000-15000,8000,15000,1000-5000人,外资（非欧美）,11500,三级
人力资源顾问,1.2-2.4万,赣州,3-4年,大专,"咨询/顾问
猎头
人才中介
招聘
销售
半导体
芯片
高提成
年终分红
晋升快
合伙人制度",成都埃萨克企业管理咨询有限公司,合资  |  150-500人,专业服务(咨询、人力资源、财会),三线,12000-24000,12000,24000,150-500人,合资,18000,二级
咨询顾问（人力资源管理）,1-1.5万,上海,无需经验,本科,"咨询顾问
五险一金
餐饮补贴
绩效奖金
年终奖金
员工旅游
定期体检
专业培训
补充医疗保险
弹性工作",上海智享会商务服务有限公司,民营  |  150-500人,专业服务(咨询、人力资源、财会),一线,10000-15000,10000,15000,150-500人,民营,12500,二级
办公室文员（工程）,3-5千,曲靖,1年,大专,"专业培训
员工旅游
绩效奖金
年终奖金",云南同脉人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),四线,3000-5000,3000,5000,,民营,4000,五级
人力资源商务专员,3.5-7千·13薪,南宁·西乡塘区,2年,大专,"人力资源
客情关系
企业管理
市场调查
五险一金
专业培训
年终奖金
周末双休
法定节日放假",广西揽胜企业管理服务集团有限公司,民营  |  150-500人,专业服务(咨询、人力资源、财会),二线,3500-7000,3500,7000,150-500人,民营,5250,四级
投资总监,9千-1万,成都·温江区,3-4年,本科,五险一金,成都恒信人力资源管理有限责任公司,非营利组织  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,9000-10000,9000,10000,1000-5000人,非营利组织,9500,三级
销售代表（人力资源方向）,8千-1.5万,杭州·西湖区,1年,本科,"周末双休
专业培训
节日福利
绩效奖金
五险一金
带薪年假
年度体检
全薪病假
员工旅游
销售
人力资源
销售代表
市场营销
互联网
TOB",“前程无忧”51job.com（杭州）,外资（非欧美）  |  150-500人,互联网/电子商务,新一线,8000-15000,8000,15000,150-500人,外资（非欧美）,11500,三级
行政前台,3-4千,昆明·呈贡区,1年,高中,"行政
前台
五险
专业培训",云南同脉人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),二线,3000-4000,3000,4000,,民营,3500,五级
人力资源项目顾问,6千-1万,深圳·南山区,3-4年,大专,"saas
人力资源
crm
实施培训
管理
演示
目标管理
过程管理
弹性工作
专业培训
五险一金
绩效奖金
年终奖金
股票期权",深圳市利坤企业管理咨询有限公司,民营  |  少于50人,计算机软件,一线,6000-10000,6000,10000,少于50人,民营,8000,四级
人力资源产业园运营管理主管,8千-1.2万,上海·松江区,5-7年,大专,"人力资源
劳务市场
运营维护
运营管理
招商
五险一金
专业培训
绩效奖金
餐饮补贴
交通补贴
员工旅游",上海顺亿鑫机电有限公司,民营  |  50-150人,机械/设备/重工,一线,8000-12000,8000,12000,50-150人,民营,10000,三级
人力资源咨询顾问,5千-1万,成都·青羊区,1年,本科,"咨询顾问
管理顾问
项目经理",上海涛志企业管理咨询有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),新一线,5000-10000,5000,10000,50-150人,民营,7500,四级
人力资源专员,5-8千,杭州·临平区,2年,大专,"五险一金
员工旅游
餐饮补贴
绩效奖金
年终奖金
定期体检
弹性工作
假日福利",杭州产融集团有限公司,民营  |  50-150人,计算机软件,新一线,5000-8000,5000,8000,50-150人,民营,6500,四级
人力资源行业销售+双休+社保-咸阳,6千-1.2万,咸阳·秦都区,2年,大专,"周末双休
绩效奖金
定期团建
节日福利
生日福利
带薪年假
法定节假日
五险一金
销售
市场营销
客户开拓",丝路启业企业管理股份有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),三线,6000-12000,6000,12000,少于50人,民营,9000,三级
投资管理人员,1-1.2万,成都·温江区,3-4年,本科,五险一金,成都恒信人力资源管理有限责任公司,非营利组织  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,10000-12000,10000,12000,1000-5000人,非营利组织,11000,三级
人力资源信息系统专员,4-8千,南宁·西乡塘区,无需经验,本科,"培训
招聘
考勤
员工关系
人才发展
薪酬绩效
劳务派遣
五险一金
交通补贴
补充公积金
餐饮补贴
通讯补贴
绩效奖金
专业培训
年终奖金",广西南跃企业管理有限公司,民营  ,专业服务(咨询、人力资源、财会),二线,4000-8000,4000,8000,,民营,6000,四级
业务专员（人力资源方向）,7-9千,广州·天河区,5-7年,大专,"人力资源销售
人力资源外包
维护客户关系
拓展
绩效奖金
带薪年假
五险一金
周未双休",广州达而球物业管理服务有限公司,民营  |  150-500人,外包服务,一线,7000-9000,7000,9000,150-500人,民营,8000,四级
人力资源行业销售一双休带社保,6千-1.2万,西安·莲湖区,2年,大专,"周末双休
绩效奖金
定期团建
节日福利
生日福利
带薪年假
法定节假日
五险一金
销售
市场",丝路启业企业管理股份有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),新一线,6000-12000,6000,12000,少于50人,民营,9000,三级
材料采购员,6-8千,曲靖,2年,大专,"专业培训
员工旅游
绩效奖金
年终奖金",云南同脉人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),四线,6000-8000,6000,8000,,民营,7000,四级
商务顾问（人力资源社保方向）,4-8千,重庆·渝北区,无需经验,大专,"五险
年底双薪
定期团建
年终奖励
定期体检
24小时食品区
下午茶
专业培训体系
年底分红
周末双休
渠道合作
销售顾问
大客户销售
企业客户
电话呼出
邀约拜访
客户拜访
销售经理
客户跟进
数据收集",重庆正仁企业管理有限公司,民营  |  150-500人,专业服务(咨询、人力资源、财会),新一线,4000-8000,4000,8000,150-500人,民营,6000,四级
人力资源销售,6千-1.2万,广州·天河区,1年,大专,"通讯补贴
专业培训
绩效奖金
定期体检
周末双休
带薪年假
带薪病假
交通报销
五险一金",前锦网络信息技术（上海）有限公司广州分公司,外资（欧美）  |  500-1000人,专业服务(咨询、人力资源、财会),一线,6000-12000,6000,12000,500-1000人,外资（欧美）,9000,三级
经营分析专员,9千-1万,成都·温江区,3-4年,大专,五险一金,成都恒信人力资源管理有限责任公司,非营利组织  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,9000-10000,9000,10000,1000-5000人,非营利组织,9500,三级
资源管理担当（日语一级）,1.1-2.2万,广州·黄埔区,1年,本科,"日语一级
资源管理
电动车开发
收益
企划
成本
五险一金
年终奖金
绩效奖金
专业培训
定期体检
免费班车
通讯补贴
餐饮补贴
交通补贴
员工旅游",广州万士凯人力资源有限公司,外资（非欧美）  |  50-150人,专业服务(咨询、人力资源、财会),一线,11000-22000,11000,22000,50-150人,外资（非欧美）,16500,二级
广电热线接听客服/不销售,3.5-5千,成都·锦江区,无需经验,大专,"节日福利
五险一金
绩效奖金
年终奖金
广电
网络电视
有线电视
客服",成都金控人力资源管理有限公司,国企  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,3500-5000,3500,5000,1000-5000人,国企,4250,五级
产业运营专员,8-9千,成都·温江区,3-4年,本科,五险一金,成都恒信人力资源管理有限责任公司,非营利组织  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,8000-9000,8000,9000,1000-5000人,非营利组织,8500,三级
资源管理担当,9千-1.8万·14薪,广州·黄埔区,1年,本科,"资源管理
日语一级
电动车开发
企划
成本
收益
五险一金
年终奖金
绩效奖金
专业培训
定期体检
免费班车
通讯补贴
餐饮补贴
交通补贴
员工旅游",广州万士凯人力资源有限公司,外资（非欧美）  |  50-150人,专业服务(咨询、人力资源、财会),一线,9000-18000,9000,18000,50-150人,外资（非欧美）,13500,二级
英文数据录入文员 - 人力资源项目 (双休),3.8-4.2千,广州·越秀区,无需经验,大专,"数据录入
英语
文员
周末双休
带薪年假
五险一金
周末双休
带薪年假
五险一金
商业保险
带薪病假
绩效奖金
团队活动",英可思（长春）科技有限公司广州分公司,外资（欧美）  |  50-150人,外包服务,一线,3800-4200,3800,4200,50-150人,外资（欧美）,4000,五级
营销推广总监,9千-1万,成都·温江区,3-4年,本科,五险一金,成都恒信人力资源管理有限责任公司,非营利组织  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,9000-10000,9000,10000,1000-5000人,非营利组织,9500,三级
宁波分公司（慈溪）外包销售经理/总监(人力资源外包),1-2万,宁波·慈溪市,2年,大专,"业务拓展
商务合作
寻找潜在客户",上海嘉益装潢工程有限公司,民营  |  50-150人,建筑/建材/工程,新一线,10000-20000,10000,20000,50-150人,民营,15000,二级
站务管理员,5-6千,深圳·福田区,1年,大专,"五险一金
物业管理",深圳市鹏劳人力资源管理有限公司,国企  |  10000人以上,专业服务(咨询、人力资源、财会),一线,5000-6000,5000,6000,10000人以上,国企,5500,四级
运营总监,9千-1万,成都·温江区,3-4年,本科,五险一金,成都恒信人力资源管理有限责任公司,非营利组织  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,9000-10000,9000,10000,1000-5000人,非营利组织,9500,三级
人力资源渠道开发专员,3.5-5.5千·13薪,重庆·渝北区,2年,大专,"渠道开发
绩效奖金
年终奖金
五险一金
周末双休
弹性工作
通讯补贴",四川百益人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),新一线,3500-5500,3500,5500,,民营,4500,五级
人力资源专员/助理,5千-1万,武汉·江岸区,1年,中技/中专,"电话
客服
呼出
呼入
周末双休
五险
带薪年假
全勤奖
节日福利
做五休二
专业培训
绩效奖金",上海道也企业管理有限公司,民营  |  150-500人,专业服务(咨询、人力资源、财会),新一线,5000-10000,5000,10000,150-500人,民营,7500,四级
信息技术管理1,6-8千,深圳·福田区,无需经验,本科,"计算机
信息技术
信息技术管理
五险一金",深圳市鹏劳人力资源管理有限公司,国企  |  10000人以上,专业服务(咨询、人力资源、财会),一线,6000-8000,6000,8000,10000人以上,国企,7000,四级
健康行业经理,4-8千,昆明·西山区,3-4年,大专,五险一金,云南同脉人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),二线,4000-8000,4000,8000,,民营,6000,四级
人力资源顾问,1-1.5万,上海·嘉定区,3-4年,大专,"五险一金
周末双休
股权
合伙人
扁平管理
弹性工作
专业培训
节日福利
带薪年假",发工资网（北京）科技股份公司,民营  |  50-150人,互联网/电子商务,一线,10000-15000,10000,15000,50-150人,民营,12500,二级
成都银行大堂经理-金牛区,3-6千,成都·金牛区,2年,大专,"银行
大堂经理
大堂
客服
金融
大堂助理
行政
接待
节日福利
专业培训",成都金控人力资源管理有限公司,国企  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,3000-6000,3000,6000,1000-5000人,国企,4500,五级
客服（五险+住宿+8小时工作制）,4-6千,昆明·官渡区,无需经验,中技/中专,"专业培训
员工旅游
绩效奖金
年终奖金
五险
提供住宿
客户服务
电话外呼
维系
购买五险
带薪培训",云南同脉人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),二线,4000-6000,4000,6000,,民营,5000,五级
三坐标测量员,7-9千,苏州·工业园区,2年,高中,"三坐标编程
五险一金
补充医疗保险
交通补贴
员工旅游
专业培训
补充公积金
免费班车
餐饮补贴
年终奖金
绩效奖金",苏州锐创人力资源管理有限公司,外资（欧美）  ,计算机软件,新一线,7000-9000,7000,9000,,外资（欧美）,8000,四级
地质/油藏工程师,1.5-2.5万,成都·锦江区,5-7年,本科,"节日福利
加班补贴
免费住宿",成都德帆人力资源管理有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),新一线,15000-25000,15000,25000,少于50人,民营,20000,二级
人力资源业务专员,5千-1万,苏州·姑苏区,3-4年,大专,"人力资源
校企开发
培训教育
员工旅游
专业培训
绩效奖金
年终奖金",江苏腾辉谷信息产业园发展有限公司,合资  |  150-500人,教育/培训/院校,新一线,5000-10000,5000,10000,150-500人,合资,7500,四级
客服专员,4-8千,昆明·官渡区,无需经验,高中,"五险
专业培训
餐饮补贴
交通补贴
客服
售后",云南同脉人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),二线,4000-8000,4000,8000,,民营,6000,四级
平面设计,6-8千,广州·越秀区,2年,本科,"五险一金
定期体检
不定期下午茶
周末双休
绩效奖金
年终奖金",广东省人力资源管理协会,非营利组织  |  少于50人,专业服务(咨询、人力资源、财会),一线,6000-8000,6000,8000,组织  |  少于50人,非营利组织,7000,四级
施工员,6千-1万,曲靖,2年,大专,"专业培训
员工旅游
绩效奖金
年终奖金",云南同脉人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),四线,6000-10000,6000,10000,,民营,8000,四级
建筑人力资源销售+双休,6-8千,重庆·南岸区,无需经验,大专,"周末双休
带薪年假
节日福利
专业培训
绩效奖金
全勤奖
生日福利
团队奖励
五险
年终奖金
销售
销售代表
建筑
人力资源
猎头
周末双休
社保
节日福利
生日福利
绩效奖金",中翌优才（重庆）企业管理咨询有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),新一线,6000-8000,6000,8000,50-150人,民营,7000,四级
聘施工员/测量员及实习生,4-4.5千,昆明·盘龙区,无需经验,中技/中专,"测绘
施工员
监理
造价员
预算
五险一金
就近安排
包吃住
朝九晚六",云南宏伟人力资源管理有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),二线,4000-4500,4000,4500,50-150人,民营,4250,五级
叉车岗,3.2-4.5千,成都·龙泉驿区,无需经验,初中及以下,"包住
包餐
有社保
叉车
叉车证
包吃包住",成都三得人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),新一线,3200-4500,3200,4500,,民营,3850,五级
美资企业安美特招聘钣金加工技术员,9千-1.1万,广州·黄埔区,3-4年,中技/中专,"绩效奖金
节日福利
补充医疗保险
免费班车
年终奖金
餐饮补贴
五险一金
定期体检",广州仕才人力资源管理有限公司,民营  |  150-500人,专业服务(咨询、人力资源、财会),一线,9000-11000,9000,11000,150-500人,民营,10000,三级
加工中心技术员,7千-1万,苏州·工业园区,2年,高中,"餐饮补贴
通讯补贴
五险一金
绩效奖金
全勤奖
节日福利
空调车间
晋升空间大，
加班多
法兰克
加工中心
马扎克
小批量生产
广数
调机
机台调试
哈斯",苏州锐创人力资源管理有限公司,外资（欧美）  ,计算机软件,新一线,7000-10000,7000,10000,,外资（欧美）,8500,三级
人事/人力资源经理,1.5-2万,深圳·福田区,5-7年,本科,"人事
人力资源经理
年终奖金
绩效奖金
五险
专业培训",广州山丘餐饮管理有限公司,民营  |  1000-5000人,餐饮业,一线,15000-20000,15000,20000,1000-5000人,民营,17500,二级
高级人力资源经理,3-3.5万·13薪,深圳·宝安区,10年以上,本科,发展空间,东莞市弘智经营管理研究院,民营  |  少于50人,专业服务(咨询、人力资源、财会),一线,30000-35000,30000,35000,少于50人,民营,32500,一级
人力资源总监,1-1.3万·13薪,昆明·官渡区,5-7年,本科,"人力资源管理
企业文化建设
人才队伍建设
年终奖金
带薪年假
包吃
全勤奖
专业培训
绩效奖金
五险一金",云南老滇山寨餐饮管理有限公司,民营  ,餐饮业,二线,10000-13000,10000,13000,,民营,11500,三级
人力资源部主管,6-8千·13薪,珠海·珠海保税区,3-4年,大专,"人力资源
招聘
培训
员工关系
员工关系协调
人力资源规划
工资发放
继任计划
五险一金
周末双休
绩效奖金
专业培训
餐饮补贴
高温补贴
带薪年假
节日福利",珠海市湾区星座酒店管理有限公司,民营  |  少于50人,酒店/旅游,二线,6000-8000,6000,8000,少于50人,民营,7000,四级
人力资源总监,2.5-4万,上海·闵行区,10年以上,本科,"人力资源
总监
五险一金
带薪年假
绩效奖金
节日福利
年终奖金",华住酒店管理有限公司,已上市  |  10000人以上,酒店/旅游,一线,25000-40000,25000,40000,10000人以上,已上市,32500,一级
人力资源HRBP,1.5-2.5万·15薪,佛山·顺德区,2年,本科,"人力资源管理
人力行政
人员招聘培训
商管
薪酬福利管理
劳动关系管理
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
绩效奖金
定期体检
租房补贴
带薪年假",碧桂园商业管理有限公司,民营  |  1000-5000人,物业管理/商业中心,新一线,15000-25000,15000,25000,1000-5000人,民营,20000,二级
人力资源主管（乐山世豪MALL）,5-7千,乐山,3-4年,本科,"人力
招聘
节日福利
餐饮补贴
五险一金
交通补贴
定期体检
通讯补贴
周末双休",乐山世豪广场商业管理有限公司,民营  |  500-1000人,快速消费品(食品、饮料、化妆品),四线,5000-7000,5000,7000,500-1000人,民营,6000,四级
人力资源经理,1.5-2.5万,杭州·滨江区,5-7年,本科,"五险一金
年终奖金
餐饮补贴",杭州云松资产管理有限公司,民营  |  150-500人,金融/投资/证券,新一线,15000-25000,15000,25000,150-500人,民营,20000,二级
人力资源主管,8千-1万·13薪,北京·丰台区,3-4年,本科,"薪酬绩效
招聘
周末双休
带薪年假
五险一金
定期体检
工作餐
补充医疗保险
绩效奖金",北京首农供应链管理有限公司,国企  |  500-1000人,贸易/进出口,一线,8000-10000,8000,10000,500-1000人,国企,9000,三级
人力资源助理/人事助理,5-8千,上海·闵行区,1年,大专,"人事
人事专员
人事助理
绩效奖金
五险一金
通讯补贴
定期体检",潮越企业管理咨询（上海）有限公司,民营  |  150-500人,服装/纺织/皮革,一线,5000-8000,5000,8000,150-500人,民营,6500,四级
人力资源专员,5-7千,西安·雁塔区,3-4年,本科,"餐饮补贴
交通补贴
通讯补贴
双休",西安华纲建设工程管理有限公司,民营  ,建筑/建材/工程,新一线,5000-7000,5000,7000,,民营,6000,四级
人力资源经理,1-1.5万·15薪,成都·天府新区,5-7年,本科,"组织发展
五险一金
绩效奖金
年终奖金
品质午餐
交通补贴",四川远鸿物业管理有限公司成都分公司,民营  |  1000-5000人,物业管理/商业中心,新一线,10000-15000,10000,15000,1000-5000人,民营,12500,二级
人力资源部部长,1.2-1.5万,成都,5-7年,本科,"带薪年假
五险一金
绩效奖金
节日福利
专业培训
交通补贴
餐饮补贴",启阳（成都）投资管理有限公司,外资（非欧美）  |  1000-5000人,汽车,新一线,12000-15000,12000,15000,1000-5000人,外资（非欧美）,13500,二级
人力资源部主管,4.5-6千,上海·嘉定区,2年,大专,"人力资源
人事
专业培训
做五休二
免费工作餐
员工宿舍",上海绿地嘉创酒店管理有限公司绿地万怡酒店,合资  |  150-500人,酒店/旅游,一线,4500-6000,4500,6000,150-500人,合资,5250,四级
人力资源主管（绩效管理和员工关系方向）,8千-1.2万,东莞·南城区,3-4年,本科,"绩效评估
节日福利
社保
定期体检
高额提成",广东华坤建设集团有限公司,民营  |  500-1000人,建筑/建材/工程,新一线,8000-12000,8000,12000,500-1000人,民营,10000,三级
人力资源经理,7.5千-1.2万,东莞·常平镇,5-7年,大专,绩效奖金,伊芙恩斯（东莞）企业管理有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),新一线,7500-12000,7500,12000,少于50人,民营,9750,三级
招聘专员/主管（外资人力资源上市公司）,7千-1万,上海·浦东新区,2年,本科,"五险一金
补充医疗保险
员工旅游
绩效奖金
年终奖金
定期体检",万宝瑞华人才管理咨询（上海）有限公司,外资（欧美）  |  1000-5000人,专业服务(咨询、人力资源、财会),一线,7000-10000,7000,10000,1000-5000人,外资（欧美）,8500,三级
人力资源专员,3千及以下,连云港·海州区,2年,中技/中专,"办公软件
物业管理
人力资源
人力资源公司
专业培训",江苏鹰飞物业管理有限公司,合资  ,计算机软件,三线,,,,,合资,0,五级
人力资源专员,3.5-4千,大连,1年,本科,五险一金,嘉信商务管理咨询（大连）有限公司,民营  ,计算机软件,二线,3500-4000,3500,4000,,民营,3750,五级
人力资源经理,1.7-2.5万·13薪,杭州·滨江区,8-9年,本科,"绩效
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
包吃
员工旅游",杭州云松资产管理有限公司,民营  |  150-500人,金融/投资/证券,新一线,17000-25000,17000,25000,150-500人,民营,21000,二级
银行纯接听客服 不外呼/平台稳定,4-6千·13薪,成都·高新区,1年,大专,"五险一金
年终奖金
绩效奖金
接听客服",成都金控人力资源管理有限公司,国企  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,4000-6000,4000,6000,1000-5000人,国企,5000,五级
日语BPO（英语读写）,5.8-6.5千,大连·高新园区,1年,本科,五险一金,言蹊人力资源管理咨询（大连）有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),二线,5800-6500,5800,6500,少于50人,民营,6150,四级
重庆人力 企业开发周末双休,3.5-6千·13薪,重庆·渝北区,2年,大专,"发展客户
绩效奖金
年终奖金
五险一金
周末双休
弹性工作
通讯补贴",四川百益人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),新一线,3500-6000,3500,6000,,民营,4750,五级
人力资源市场主管,6千-1.2万,成都·锦江区,2年,大专,"人力资源行业
外包
派遣
rpo
管理项目
五险一金
补充公积金
专业培训
出国机会
员工旅游
双休
年轻化团队",北京华聚远航企业管理咨询有限公司青羊二分公司,民营  |  1000-5000人,专业服务(咨询、人力资源、财会),新一线,6000-12000,6000,12000,1000-5000人,民营,9000,三级
人力资源总监,2.5-3万,上海,8-9年,本科,五险一金,杭州鸿昆企业管理咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),一线,25000-30000,25000,30000,少于50人,民营,27500,一级
HR Team Lead/人力资源主管,1-1.5万,上海·静安区,5-7年,本科,"hrbp
招聘
员工关系
薪酬绩效
人才发展
五险一金
补充医疗保险
专业培训
弹性工作
定期体检",达邦（上海）管理有限公司,外资（欧美）  |  150-500人,专业服务(咨询、人力资源、财会),一线,10000-15000,10000,15000,150-500人,外资（欧美）,12500,二级
人力资源顾问/猎头顾问/,7千-1万,上海·普陀区,1年,本科,"招聘需求
猎头
招聘
五险一金
专业培训
绩效奖金
年终奖金
弹性工作
员工旅游
定期体检",上海索乐企业管理咨询有限公司,民营  ,计算机软件,一线,7000-10000,7000,10000,,民营,8500,三级
人力资源专员（绩效管理）,6千-1万,泰州·海陵区,无需经验,本科,"人力资源管理
工商管理
企业管理
绩效管理
社会学
业绩核算
奖励发放
五险一金
绩效奖金
专业培训
大平台
高晋升
提供住宿",牧原食品股份有限公司,已上市  |  10000人以上,农/林/牧/渔,三线,6000-10000,6000,10000,10000人以上,已上市,8000,四级
人力资源部经理,1-2万,北京·朝阳区,3-4年,本科,"五险
交通补贴
通讯补贴
做五休二",北京高腾物业管理有限公司,民营  ,物业管理/商业中心,一线,10000-20000,10000,20000,,民营,15000,二级
人力资源总监,2.5-3万,广州·番禺区,8-9年,大专,"人力资源
五险一金
员工旅游
专业培训
出国机会
年终奖金
绩效奖金
交通补贴
餐饮补贴
定期体检",亚商商学（广东）运营管理有限公司,民营  ,计算机软件,一线,25000-30000,25000,30000,,民营,27500,一级
人力资源经理,1.2-2.3万,杭州·萧山区,5-7年,本科,"培训
招聘
员工关系
人才发展
薪酬绩效
考勤
企业文化
五险一金
年度旅游
其他
年终奖金",嘉兴博爵企业管理咨询有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),新一线,12000-23000,12000,23000,50-150人,民营,17500,二级
人力资源负责人（偏招聘）,2-3.5万,南京,10年以上,本科,"招聘总监
招聘经理
人力资源总监
五险一金
餐饮补贴
交通补贴
弹性工作",嘉兴博爵企业管理咨询有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),新一线,20000-35000,20000,35000,50-150人,民营,27500,一级
人力资源总监（侧重在招聘）,2.5-3.5万,广州,10年以上,本科,"五险一金
餐饮补贴
交通补贴
弹性工作",嘉兴博爵企业管理咨询有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),一线,25000-35000,25000,35000,50-150人,民营,30000,一级
人力资源主管,6-8千,苏州·吴江区,3-4年,大专,"人事
五险一金
餐饮补贴
通讯补贴
专业培训",苏州砂之船商业管理有限公司,合资  |  50-150人,物业管理/商业中心,新一线,6000-8000,6000,8000,50-150人,合资,7000,四级
