职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
项目营销总监(J10574),上海象屿置业有限公司,3-6万,上海-黄浦区,本科,5-7年经验,五险一金,房地产,工作职责:1、负责公司开发项目的营销策划及销售管理工作；2、负责制定项目总体和分阶段的市场推广策略并有效执行；3、根据公司年度销售指标，层层分解并组织实施；4、监控销售进度，适时调整营销策略，确保完成年度销售指标；5、整合营销资源，指导、推进媒体及代理机构完成项目营销推广计划、并组织实施；6、负责营销管理团队组建、培训及考核工作。任职资格:1、本科以上学历，市场营销相关专业，5年以上大中型房企营销管理经验，2年以上同等岗位任职经验；2、熟悉地产项目开发全过程和相关政策法规，市场营销、品牌推广和销售管理能力强；3、市场敏感度强，良好的应变和开拓市场的能力，良好的职业操守和敬业精神；4、熟悉上海、环沪房地产市场行情，有合作项目经验者优先。,国企  |  150-500人
营销总监（储备）,宁波蓝城恒泰建设管理有限公司,1.2-2万,,,,带薪年假,房地产,,民营  |  50-150人
市场营销专员,新丰泰集团控股有限公司,4-5千,,,,交通补贴,汽车,,已上市  |  1000-5000人
企服营销总监8000-15000+分红,佛山市钧瓴信息科技有限公司,8千-1.5万,佛山-顺德区,本科,5-7年经验,销售,专业服务(咨询、人力资源、财会),岗位职责：1、紧跟公司发展的方向和计划完成目标任务2、建立和管理销售队伍，带领团队完成业绩，监督与辅导队员成长3、熟悉公司产品，渠道、市场和最新政策咨询，负责公司专业培训4、分析市场情况，提升公司销售技能，销售话术，增加公司业绩团队业绩5、负责公司的客户开发、拜访、维护，公司重要关系资源的建立；6、联合运营，制作营销内容，营销工具，营销活动，促销政策公司福利：1、底薪+业绩提成+团队提成+分红（***）2、晋升制度：营销总监——事业部总监——事业部总经理——营销总经理3、***，节假日根据国家规定休息任职要求：1、5年以上企业服务岗位营销策划及销售管理经验，有0-5人团队搭建能力优先考虑　2、对企业服务类行业、客户有深刻理解和控制能力，熟悉企业服务市场。　3、具备先进的营销理念、较强的市场分析能力和应变能力。　4、熟悉企业服务类产品销售和售后服务管理，熟练掌握各种销售模式，富于创新精神。　5、具备良好的形象、演讲能力，和优良的商务接待素养；6、具有较强的事业心，强烈的前瞻性思维；,民营  |  少于50人
营销总监,宁波搏盛阀门管件有限公司,15-22万/年,宁波-鄞州区,大专,8-9年经验,年终奖金,原材料和加工,"1、年龄30-45岁之间,大专以上学历2、8年以上销售工作经验3、具备销售管理、销售策划及项目策划、实施能力4、能编制销售计划；建立、培训、管理业务团队5、能做好产品销售各环节的质量管理工作6、有市场经理（营销/销售经理）岗位实际工作经历，执行力强7、从事过卫浴产品销售工作，优先录用。",民营  |  50-150人
营销总监/经理,湖北天盟投资集团有限公司,25-35万/年,武汉-洪山区,大专,10年以上经验,五险,房地产,【异地招聘】：本岗位要求驻项目地，驻外区域为：湖北宜昌或安徽安庆岗位职责:1、全面负责所在项目的营销工作，完成销售任务并及时回款；2、参与确定产品市场定位，协同相关部门共同制定产品设计及定价；3、负责营销及推广策略的制定，包括营销方案、广告创意、推广活动及媒介策略等；4、负责销售管理工作，制定销售策略、促销方案，有代理公司驻场时对其进行管理及指导；5、负责所在区域市场和竞争楼盘的跟踪研究；6、协调广告公司、代理公司及媒体资源，保证各类广告企划及销售物料的品质。任职要求:1、大专及以上学历，熟悉房地产开发流程；2、十年以上房地产营销工作经验，有完整商住项目的操盘经验；3、擅长项目营销推广及销售管理，有较强的分析判断能力及解决问题的能力；4、具有良好的组织协调能力、执行力强，擅长团队合作。,民营  |  150-500人
营销文案策划,深圳市一骑绝尘服饰有限公司,1.5-2万,深圳-南山区,本科,3-4年经验,市场营销,互联网/电子商务,岗位职责：1、利用个人敏锐的销售触觉和嗅觉，精确感知用户的痛点和爽点；2、为各个销售端口提供营销专业支持：通过S级爆款文案的优化及输出、直播话术和短视频文案的优化，提高成交和转化；3、提升用户感知，建立与用户的情感链接；4、负责布先生品牌的营销策划工作，包括大促、专题策划、热点营销等；任职资格：1、本科以上学历（优秀者可放宽），市场营销、广告专业优先;2、3年以上服装行业培训师、督导经验；或广告业、咨询行业全案营销、营销策划工作经验；3、年龄28岁-40岁；4、懂销售、营销，有创意。沟通、协调能力强，责任心强。,民营  |  150-500人
广告营销,广州博衍文创艺术传媒有限公司,5-6千,广州-天河区,大专,3-4年经验,客户开发,广告,"一、岗位职责：1、负责客户资料的收集、统计、分析、资源整合、客户资料信息库管理工作。　2、负责客户的开发、接待、谈判、管理工作。　　3、负责全面了解客户意见、需求，为客户提供即时服务。　　4、定期对所服务的客户进行不同形式的访问、拜访，维护与客户长期的沟通和合作关系。　　5、负责客户有关我司业务或服务质量投诉与意见处理、结果的反馈工作。　　6、负责整体规划和市场布局,分析市场动态,制定目标客户群,挖掘潜在客户。　7、负责项目全程进程管控、内外部沟通工作。8、负责组织市场调查,整合媒体宣传资源,结合客户需求制定计划,通过网络媒介拓宽区域客户。　9、负责制定、执行公司客户部年度经营计划，监督实施全过程，完成业绩指标。　　10、负责关注客户服务工作的发展，收集相关资料，为公司完善客户服务工作提出建议。　　11、负责掌握市场动态，熟悉市场状况，对策划、设计及其它工作提供建设性意见。二、任职要求：1、三年以上大型企业相关营销、广告策划、媒体运营等经验;？2、大专及以上学历，市场营销专业优先考虑；3、熟悉广告活动策划行业，对行业有了解；4、有销售工作经验，有客户开发及维护经验；5、沟通力强，善于倾听，说服力强，上进坦诚；6、有狼性、目标感强，成就动机强；7、工作主动性强，有较强的执行力，抗压性强，有韧性，心态平衡度高；待遇：底薪+提成",民营  |  少于50人
市场营销专员,湖北驰声文化传播有限公司,5千-1万,黄石,大专,1年经验,湖北驰声文化传播有限公司,贸易/进出口,【岗位职责】1、市场调研，搜集相关市场动态并进行分析，为领导决策提供依据；2、协助上级制定市场推广计划以及推广方案；3、分析行业内市场动态，根据指定的市场推广方案进行实施，并负责相关区域的客户关系维护；4、跟进客户，记录客户反馈意见，并根据客户意见进行推广方案的改进；5、听从上级领导的安排。【任职要求】1、大专及以上学历，市场营销、工商管理等专业优先；2、具备相关的市场营销知识，熟悉政府机关单位业务流程；3、1-3年以上相关工作经验，能接受出差；4、具备较强的业务开拓能力以及公关能力；5、具备敏锐的市场洞察力以及市场分析能力。薪资结构：月底薪+市场提成+奖金+福利津贴接受出差。,民营  
出版社教材营销人员销售代表大区经理,山东原道信息技术有限公司,6千-1万,济南-槐荫区,大专,1年经验,五险一金,影视/媒体/艺术/文化传播,工作职责：收集省内中高院校教材需求信息，传递教材产品信息，落实营销计划，完成销售任务任职资格：***专科以上学历，具有良好的人际沟通能力，具备优秀的市场分析、客户分析能力薪酬待遇：底薪+销售提成，五险一金，七小时工作制，双休，正常节假日，带薪年假，公费旅游工作地点：济南男女不限，年龄35周岁以下,民营  |  少于50人
